timestampString;value;temperature;Fault
2016-Feb-02 01:00:00;10.95;49;0
2016-Feb-02 01:10:00;10.95;48.5;0
2016-Feb-02 01:20:00;10.95;48.5;0
2016-Feb-02 01:30:00;10.95;48.5;0
2016-Feb-02 01:40:00;10.95;48.5;0
2016-Feb-02 01:50:00;10.95;48.5;0
2016-Feb-02 02:00:00;10.95;48.5;0
2016-Feb-02 02:10:00;10.69;2739.8;0
2016-Feb-02 02:20:00;10.69;2744;0
2016-Feb-02 02:30:00;10.43;48.6;0
2016-Feb-02 02:40:00;10.43;48.5;0
2016-Feb-02 02:50:00;10.43;68.2;0
2016-Feb-02 03:00:00;10.43;70.5;0
2016-Feb-02 03:10:00;10.43;71;0
2016-Feb-02 03:20:00;10.43;70;0
2016-Feb-02 03:30:00;10.43;71;0
2016-Feb-02 03:40:00;10.43;71;0
2016-Feb-02 03:50:00;10.43;70.5;0
2016-Feb-02 04:00:00;10.43;70.5;0
2016-Feb-02 04:10:00;10.43;3570;0
2016-Feb-02 04:20:00;10.43;4771;0
2016-Feb-02 04:30:00;10.43;4626;0
2016-Feb-02 04:40:00;10.43;4347;0
2016-Feb-02 04:50:00;10.43;4625.5;0
2016-Feb-02 05:00:00;10.43;4948.33;0
2016-Feb-02 05:10:00;10.43;5118.67;1
2016-Feb-02 05:20:00;10.43;5238;1
2016-Feb-02 05:30:00;10.43;5339.5;1
2016-Feb-02 05:40:00;10.43;5475;1
2016-Feb-02 05:50:00;10.43;5624;1
2016-Feb-02 06:00:00;10.43;5740;1
2016-Feb-02 06:10:00;10.43;5798;1
2016-Feb-02 06:20:00;10.43;6049.33;1
2016-Feb-02 06:30:00;10.43;6297;1
2016-Feb-02 06:40:00;10.43;6437;1
2016-Feb-02 06:50:00;10.43;2680.4;0
2016-Feb-02 07:00:00;10.43;2680.4;0
2016-Feb-02 07:10:00;9.94;49;0
2016-Feb-02 07:20:00;9.94;49.6;0
2016-Feb-02 07:30:00;9.94;1699;0
2016-Feb-02 07:40:00;9.94;4376.25;0
2016-Feb-02 07:50:00;9.94;1631.33;0
2016-Feb-02 08:00:00;9.94;48.6;0
2016-Feb-02 08:10:00;9.94;48.6;0
2016-Feb-02 08:20:00;9.94;48.5;0
2016-Feb-02 08:30:00;9.94;49;0
2016-Feb-02 08:40:00;9.94;49;0
2016-Feb-02 08:50:00;9.94;1635.33;0
2016-Feb-02 09:00:00;9.94;4386.25;0
2016-Feb-02 09:10:00;9.43;4795.25;0
2016-Feb-02 09:20:00;9.43;5783.71;1
2016-Feb-02 09:30:00;9.43;6444.8;1
2016-Feb-02 09:40:00;9.43;3384.25;0
2016-Feb-02 09:50:00;9.43;3384.25;0
2016-Feb-02 10:00:00;9.43;49.5;0
2016-Feb-02 10:10:00;9.43;49;0
2016-Feb-02 10:20:00;9.43;49;0
2016-Feb-02 10:30:00;9.43;1267.5;0
2016-Feb-02 10:40:00;9.43;4433.5;0
2016-Feb-02 10:50:00;9.43;1553;0
2016-Feb-02 11:00:00;9.43;1553;0
2016-Feb-02 11:10:00;9.43;49.33;0
2016-Feb-02 11:20:00;9.43;49.5;0
2016-Feb-02 11:30:00;9.43;49.5;0
2016-Feb-02 11:40:00;9.43;49.5;0
2016-Feb-02 11:50:00;9.43;50;0
2016-Feb-02 12:00:00;9.43;1006.2;0
