timestampString;value;temperature
2016-Feb-10 01:00:00;4435;3.37
2016-Feb-10 01:10:00;4490;3.61
2016-Feb-10 01:20:00;4490;3.61
2016-Feb-10 01:30:00;4514;3.61
2016-Feb-10 01:40:00;4514;3.61
2016-Feb-10 01:50:00;3354.75;3.61
2016-Feb-10 02:00:00;96;3.61
2016-Feb-10 02:10:00;95.5;3.61
2016-Feb-10 02:20:00;96.6;3.11
2016-Feb-10 02:30:00;4270.67;3.11
2016-Feb-10 02:40:00;4400;3.11
2016-Feb-10 02:50:00;4451;3.11
2016-Feb-10 03:00:00;4504;3.11
2016-Feb-10 03:10:00;4504;3.36
2016-Feb-10 03:20:00;4540;3.36
2016-Feb-10 03:30:00;4540;3.61
2016-Feb-10 03:40:00;1897.43;3.61
2016-Feb-10 03:50:00;96.33;3.61
2016-Feb-10 04:00:00;95.5;3.36
2016-Feb-10 04:10:00;917.57;3.36
2016-Feb-10 04:20:00;4352;3.11
2016-Feb-10 04:30:00;4463;3.11
2016-Feb-10 04:40:00;4515;3.11
2016-Feb-10 04:50:00;4515;3.11
2016-Feb-10 05:00:00;4555;3.11
2016-Feb-10 05:10:00;4555;3.11
2016-Feb-10 05:20:00;2359.8;3.11
2016-Feb-10 05:30:00;96.5;3.61
2016-Feb-10 05:40:00;96.86;3.61
2016-Feb-10 05:50:00;96.8;3.61
2016-Feb-10 06:00:00;3355.5;3.61
2016-Feb-10 06:10:00;4448.5;3.61
2016-Feb-10 06:20:00;4448.5;3.61
2016-Feb-10 06:30:00;4527;3.61
2016-Feb-10 06:40:00;4527;3.61
2016-Feb-10 06:50:00;4552;3.61
2016-Feb-10 07:00:00;2667.8;3.61
2016-Feb-10 07:10:00;61.5;3.61
2016-Feb-10 07:20:00;61.5;3.61
2016-Feb-10 07:30:00;62;3.61
2016-Feb-10 07:40:00;2175.25;3.61
2016-Feb-10 07:50:00;4358;3.61
2016-Feb-10 08:00:00;4415;3.61
2016-Feb-10 08:10:00;4415;3.61
2016-Feb-10 08:20:00;4426;3.61
2016-Feb-10 08:30:00;4426;3.61
2016-Feb-10 08:40:00;4483;3.61
2016-Feb-10 08:50:00;4508;3.61
2016-Feb-10 09:00:00;6268.38;4.11
2016-Feb-10 09:10:00;1792;4.6
2016-Feb-10 09:20:00;61.6;4.6
2016-Feb-10 09:30:00;61.5;4.6
2016-Feb-10 09:40:00;4364.5;4.6
2016-Feb-10 09:50:00;4328;5.1
2016-Feb-10 10:00:00;4385;5.1
2016-Feb-10 10:10:00;4439;5.1
2016-Feb-10 10:20:00;4597;5.1
2016-Feb-10 10:30:00;4684;5.61
2016-Feb-10 10:40:00;3787.71;5.61
2016-Feb-10 10:50:00;60.67;6.39
2016-Feb-10 11:00:00;61;7.16
2016-Feb-10 11:10:00;61;7.16
2016-Feb-10 11:20:00;61.5;7.16
2016-Feb-10 11:30:00;61.5;7.16
2016-Feb-10 11:40:00;62;7.16
2016-Feb-10 11:50:00;62.5;7.16
2016-Feb-10 12:00:00;3395.25;7.67
2016-Feb-10 12:10:00;4538.5;7.67
2016-Feb-10 12:20:00;4615;8.17
2016-Feb-10 12:30:00;5962.17;8.69
2016-Feb-10 12:40:00;1450.8;8.93
2016-Feb-10 12:50:00;61.33;8.15
2016-Feb-10 13:00:00;61.67;8.15
2016-Feb-10 13:10:00;62.5;8.15
2016-Feb-10 13:20:00;62.5;8.15
2016-Feb-10 13:30:00;62.6;8.15
2016-Feb-10 13:40:00;62.5;8.15
2016-Feb-10 13:50:00;3340.5;7.64
2016-Feb-10 14:00:00;4458.5;6.84
2016-Feb-10 14:10:00;4566;6.04
2016-Feb-10 14:20:00;5289.5;5.54
2016-Feb-10 14:30:00;5116.89;5.54
2016-Feb-10 14:40:00;98.33;6.84
2016-Feb-10 14:50:00;98.5;6.59
2016-Feb-10 15:00:00;97.8;6.59
2016-Feb-10 15:10:00;98.14;6.59
2016-Feb-10 15:20:00;4219;7.12
2016-Feb-10 15:30:00;4219;7.65
2016-Feb-10 15:40:00;4367;7.65
2016-Feb-10 15:50:00;9.75;7.11
2016-Feb-10 16:00:00;9.75;6.61
2016-Feb-10 16:10:00;6.5;6.61
2016-Feb-10 16:20:00;6;6.61
2016-Feb-10 16:30:00;6;6.61
2016-Feb-10 16:40:00;6;6.1
2016-Feb-10 16:50:00;6;5.58
2016-Feb-10 17:00:00;6.5;5.58
2016-Feb-10 17:10:00;2076.5;5.58
2016-Feb-10 17:20:00;4167.33;5.58
2016-Feb-10 17:30:00;4426.33;5.58
